
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 592.7388765332149, A_magnet = 0.0057599999999999735: losses = 0.05881691337329495, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 592.7388765332149, A_magnet = 0.005759999999999992: losses = 0.05889671526374336, delta_magnet = 0.018845925142748184 
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 592.7388765332149, A_magnet = 0.005759999999999968: losses = 0.058896714971958655, delta_magnet = 0.018845925142748184 
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.01151998150186815: losses = 157.49688570187564, delta_magnet = 0.005788409317023805
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.011519981499731375: losses = 157.50117857395367, delta_magnet = 0.005788409317023805
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981499671884: losses = 2.4970316318856325e-05, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967223: losses = 2.2048007194394047e-05, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.01151998149967047: losses = 7.454814537984371e-05, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283.185307179586, A_magnet = 0.01151998149967047: losses = 1645.2734324903852, delta_magnet = 0.017365227951071417
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.01151998149967047: losses = 2986.0302532478395, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.01151998149967047: losses = 2986.030292199375, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981507815184: losses = 2986.0135203295704, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981507815184: losses = 2986.0135118544385, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981507883657: losses = 2986.013459072613, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 628.3185307179587, A_magnet = 0.011519981507883657: losses = 2986.0134702212654, delta_magnet = 0.054913672413404654
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981507883657: losses = 0.18789376565935928, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981507883657: losses = 0.1878937656593452, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.169469046406877, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981500597168: losses = 0.018305870271909434, delta_magnet = 0.0005491367241340465
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.1594126495134865, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.019030712709306837, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.159412649513476, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.15941264951350131, delta_magnet = 0.00018304557471134886
Periodic Sim: PZ = 8, Tau = 1, omega = 6283185.307179586, A_magnet = 0.011519981505589676: losses = 0.15941264951351009, delta_magnet = 0.00018304557471134886
Flat Sim A_mag: PZ = 8, Tau = 1, omega = 592.7388765332149, A_magnet = 0.005759999999999972: losses = 0.058824014155000895, delta_magnet = 0.018845925142748184 
